"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName"
"620","ENSMZEG00005012293",171.231515412768,-0.411125005504164,0.144947153204651,-2.83637861396075,0.00456283193981544,0.0442400576820439,"cmc2"
"621","ENSMZEG00005012313",539.779626694539,-0.552420275786794,0.124831244620404,-4.42533660115812,9.62920196882251e-06,0.00050998604417975,"atmin"
"622","ENSMZEG00005012318",4981.21545206836,-0.280176634794131,0.0988408691646007,-2.83462334115607,0.00458797435385324,0.0443504187539146,"hsp90aa1.2"
"623","ENSMZEG00005012346",619.878176876385,-1.35170497073403,0.284197955688625,-4.75620933816636,1.97261917130562e-06,0.000144794039350377,"arpc1b"
"624","ENSMZEG00005012353",794.831397416548,-0.276841106184136,0.0743455266879397,-3.72370899121016,0.000196317204482493,0.00474443198440816,"sgsm3"
"626","ENSMZEG00005012370",1785.69571460652,-0.325314754722081,0.0928631275571799,-3.5031638851682,0.000459766493945971,0.00887361132284773,"arpc1a"
"628","ENSMZEG00005012405",285.764092075932,-0.814691979984019,0.238996491839238,-3.40880309043208,0.000652485583038406,0.0113942567527187,"gnsb"
"629","ENSMZEG00005012430",27.2020011225572,-1.43524969670838,0.31005982991945,-4.62894434626132,3.67534518649724e-06,0.00023557709686861,"ror1"
"630","ENSMZEG00005012461",17.4740576646533,-1.53814472637399,0.542027323943347,-2.83776233859154,0.00454309959977385,0.0441055994707821,"rxfp3.3a1"
"631","ENSMZEG00005012469",95.775576857613,-1.23510556312073,0.331937058052195,-3.72090290360564,0.000198511757880843,0.00477486383934709,"irf8"
"632","ENSMZEG00005012481",23.0646622915758,-1.26413156122956,0.407153747934426,-3.10480148504774,0.0019040676995282,0.0242984023963547,"bace2"
"634","ENSMZEG00005012532",403.190938501565,-0.805585509623158,0.224999906791798,-3.5803815259737,0.000343092879791482,0.0071213077772359,"IGFBP4"
"635","ENSMZEG00005012541",9900.68297831292,-0.744628472850012,0.142053289466561,-5.24189531721683,1.58935535862101e-07,1.79838599946911e-05,"rack1"
"636","ENSMZEG00005012555",7283.03451531124,-0.786665575291551,0.15021131750834,-5.23705928648069,1.63155295092418e-07,1.82233156825502e-05,"RPL27A"
"637","ENSMZEG00005012576",40.5433460625497,-1.44955714342428,0.38714352302759,-3.74423710382202,0.00018094272287707,0.00449676972713565,"pargl"
"638","ENSMZEG00005012591",199.927519201796,-0.557067074095585,0.173222282428035,-3.21590886742309,0.00130032117683506,0.0186272040582556,"ddx51"
"639","ENSMZEG00005012665",187.034207170455,-3.79046526253823,0.812765939243472,-4.66366155312368,3.10632110457922e-06,0.000204328911841156,"kif23"
"640","ENSMZEG00005012671",876.958897619791,-0.242695006051003,0.0834219857998207,-2.90924513153371,0.00362302660388877,0.0375138716094256,"tcp11l1"
"641","ENSMZEG00005012672",797.423720138701,-1.36891249274402,0.309914115070176,-4.41707049204276,1.00047609470426e-05,0.000527400505811158,"swap70b"
"642","ENSMZEG00005012706",39.8374270335806,-1.09262097621115,0.332511405096514,-3.28596541190521,0.00101633488955083,0.0157381933960507,"AMPD3"
"643","ENSMZEG00005012717",181.513459571639,-0.70457351402412,0.244395934894366,-2.88291830356612,0.00394009613326194,0.0397213802317497,"ugt1a2"
"644","ENSMZEG00005012728",171.925652893395,-1.15449168614876,0.352270594808751,-3.27728656084831,0.00104809938534476,0.0161237901557077,"PEBP4"
"646","ENSMZEG00005012840",9998.81474370602,-0.779621754956859,0.141416030264464,-5.51296591693938,3.52836580216872e-08,5.56191513432053e-06,"rps25"
"648","ENSMZEG00005012861",870.268490543974,-0.471149414715639,0.165737504975792,-2.84274470515563,0.00447268812853952,0.0435994474922853,"psat1"
"649","ENSMZEG00005012865",124.699287808145,-0.824346325197955,0.296437129175415,-2.78084708042815,0.00542172692990571,0.0496046240845631,"septin9a"
