"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName"
"303","ENSMZEG00005007923",44.4014332229359,1.2817257309851,0.369779634306953,3.46618799974566,0.000527894019757867,0.00979469150804029,"rskra"
"304","ENSMZEG00005007943",412.124797081783,0.596677457546508,0.157801259244683,3.78119579274912,0.000156076860334118,0.00407098973740851,"smarcc2"
"306","ENSMZEG00005007967",543.128771191844,0.637779974203068,0.0890509022777142,7.16197093898147,7.95252834448427e-13,4.57992283241541e-10,"rcbtb1"
"307","ENSMZEG00005007968",14.8887539871078,1.09018588203726,0.309192484225444,3.52591326651511,0.0004220251574699,0.00832319196052088,"hnf1ba"
"308","ENSMZEG00005007977",254.542061154606,0.543854898857665,0.179705142569996,3.02637359777187,0.00247506281327884,0.0292215422256396,"ube3a"
"309","ENSMZEG00005008022",891.882401913592,0.23940044379149,0.0740340120364913,3.23365487302633,0.0012221705049794,0.0178361002156178,"bcl7a"
"310","ENSMZEG00005008049",901.086015333899,0.422031337111216,0.14216417214121,2.96861952455938,0.00299140737755746,0.033003488143008,"ralgapa1"
"311","ENSMZEG00005008115",1325.66109782022,0.340809486866379,0.10467025798377,3.25602987354081,0.00112981863439087,0.0168926229483942,"tom1l2"
"312","ENSMZEG00005008131",122.334149345788,0.66850830081663,0.179007204577485,3.73453293343432,0.000188063881494381,0.00460705460833466,"abi1b"
"313","ENSMZEG00005008146",4046.96820245947,0.517463755419116,0.183334616298978,2.82250982310535,0.00476493622592571,0.0455067452680818,"EP400"
"314","ENSMZEG00005008156",376.544419779977,0.591851929225889,0.0962356520238713,6.15002773690441,7.74693978634212e-10,2.53313703564421e-07,"amt"
"315","ENSMZEG00005008162",1085.07200307929,0.247845643351795,0.0760715451507957,3.25805980226238,0.00112176763913653,0.0168168248997996,"yme1l1b"
"316","ENSMZEG00005008178",468.390399318233,0.99592678388519,0.331522467602308,3.00410041916042,0.00266367392188789,0.0305997001148852,"TTC28"
"317","ENSMZEG00005008224",1955.17837166424,1.44460331357362,0.242885426736096,5.94767390117329,2.71979751053894e-09,7.969359926335e-07,"ipo8"
"318","ENSMZEG00005008242",114.17238967105,0.658399938309168,0.175796284712354,3.745243759767,0.000180218707090782,0.0044942052829198,"GXYLT1"
"319","ENSMZEG00005008249",212.791807587263,0.421793147160182,0.134730766778401,3.13063717550073,0.00174427515050958,0.0228008898874839,"casd1"
"320","ENSMZEG00005008319",805.135748131288,0.490231057979148,0.161911450983612,3.02777261892839,0.00246363384043779,0.0291323410419064,"nrde2"
"321","ENSMZEG00005008350",1047.67022060001,0.588680406098353,0.201077993463653,2.92762224228562,0.00341564760766365,0.0360448275603869,"RSBN1L"
"323","ENSMZEG00005008424",5527.44907118026,0.627367928285361,0.130063961714359,4.82353389836885,1.41036784207886e-06,0.000110873586247329,"trip12"
"326","ENSMZEG00005008522",1088.59262921799,1.40973583804801,0.46818523503167,3.01106428089866,0.00260333734177177,0.0301433277128252,"RNF123"
"327","ENSMZEG00005008543",1088.09718190188,0.340716455933527,0.0901714367258098,3.77854083626909,0.000157749986536907,0.00409569067462105,"ndel1a"
"328","ENSMZEG00005008591",733.077715907119,0.245501830402329,0.0690220055071041,3.55686318585832,0.000375309489272285,0.00764235802974846,"ppp4r2b"
"329","ENSMZEG00005008599",65.9555624419529,3.61881029190286,1.13768362332013,3.18085820849034,0.00146839479689932,0.0203251063850567,"pvalb4"
"330","ENSMZEG00005008726",1004.28261691132,0.477118695097609,0.105392911446027,4.52704729902016,5.9813555991868e-06,0.000346031255052676,"chuk"
"332","ENSMZEG00005008781",57.9501567008272,1.0086484858634,0.272331396312775,3.7037539538958,0.000212432309555196,0.0050240018534427,"tcf7"
"333","ENSMZEG00005008796",802.299627658731,0.4868138765859,0.169371289122304,2.87424084157716,0.004049999961724,0.0405215517234665,"adam19b"
