GeneID,GeneName
ENSMZEG00005007401,igsf21b
ENSMZEG00005007452,VPS13D
ENSMZEG00005007571,NA
ENSMZEG00005007576,lrrc38a
ENSMZEG00005007692,EPHB2
ENSMZEG00005018512,lactbl1a
ENSMZEG00005018514,trappc6b
ENSMZEG00005018522,NA
ENSMZEG00005018529,gpr173
ENSMZEG00005018531,suv39h1a
ENSMZEG00005018538,PORCN
ENSMZEG00005018555,NA
ENSMZEG00005018578,asxl1
ENSMZEG00005018586,NA
ENSMZEG00005018589,mfn2
ENSMZEG00005018596,NA
ENSMZEG00005018606,NA
ENSMZEG00005018611,NA
ENSMZEG00005018614,NA
ENSMZEG00005018617,NA
ENSMZEG00005018619,NA
ENSMZEG00005018629,NA
ENSMZEG00005018641,wdr47a
ENSMZEG00005018648,CAMSAP2
ENSMZEG00005018657,NA
ENSMZEG00005018672,NA
ENSMZEG00005018682,NA
ENSMZEG00005018691,NA
ENSMZEG00005019199,NA
ENSMZEG00005019205,NA
ENSMZEG00005019209,NA
ENSMZEG00005019214,capn10
ENSMZEG00005019218,eif4e2
ENSMZEG00005019222,NA
ENSMZEG00005019228,chrng
ENSMZEG00005019242,NA
ENSMZEG00005019567,NA
ENSMZEG00005019588,alg3
ENSMZEG00005019599,mul2
ENSMZEG00005019609,camk2n2
ENSMZEG00005019616,ece2a
ENSMZEG00005019622,NA
ENSMZEG00005019628,NA
ENSMZEG00005019632,yeats2
ENSMZEG00005019639,klhl24a
ENSMZEG00005019644,mterf4
ENSMZEG00005019647,NA
ENSMZEG00005019653,pask
ENSMZEG00005019665,NA
ENSMZEG00005019680,NA
ENSMZEG00005019685,NA
ENSMZEG00005019688,NA
ENSMZEG00005020050,mbnl1
ENSMZEG00005020065,CUL3
ENSMZEG00005020078,NA
ENSMZEG00005020084,ap1s3b
ENSMZEG00005020088,scg2b
ENSMZEG00005020092,acsl3b
ENSMZEG00005020097,NA
ENSMZEG00005020100,pax3a
ENSMZEG00005020106,NA
ENSMZEG00005020112,NA
ENSMZEG00005020120,NA
ENSMZEG00005020122,NA
ENSMZEG00005020127,NA
ENSMZEG00005020135,NA
ENSMZEG00005020139,NA
ENSMZEG00005020147,MMP16
ENSMZEG00005020151,NA
ENSMZEG00005020159,NA
ENSMZEG00005020163,nsmaf
ENSMZEG00005020171,NA
ENSMZEG00005020181,NA
ENSMZEG00005020185,fam168b
ENSMZEG00005020189,fbxo45
ENSMZEG00005020194,nrros
ENSMZEG00005020196,sh3glb1a
